"date","sample_location","time1","vocs1_ppm","temp1_f","humidity1","observations1","time2","vocs2_ppm","temp2_f","humidity2","observations2","time3","vocs3_ppm","temp3_f","humidity3","observations3"
"2018-09-07T00:00:00.000","11th Floor",,"0.4",,,"high temperature, humid, poor ventillation, stagnant air ",,,,,,,,,,
"2018-09-11T00:00:00.000","3rd Floor",,"0.2","75.5","75.6",," 16:37:00","0.7*","76.6","78.7",,,,,,
"2018-09-12T00:00:00.000","Tenant Association room",,,,"no access",,,,"no access ",,,,"no access",,,
"2018-09-14T00:00:00.000","Paint Room"," 08:07:00","<0.1","75.9","84.3",," 16:21:00","<0.1","78.3","71.5",,"22:00:00","<0.1","76.5","77.3",
"2018-09-13T00:00:00.000","Slop sink room:",,,,,"no access",,,,,"No access",,,,,"No access"
"2018-09-14T00:00:00.000","9th Floor"," 08:26:00","0.1","78.4","72.5",," 16:47:00","0.1","79.1","68.0",,"22:18:00","0.3","78.3","67.1",
"2018-09-13T00:00:00.000","Sprinkler control valve room"," 08:12:00","<0.1","75.5","86.7",," 16:11:00","<0.1","78.0","79.7",,"22:08:00","<0.1","76.9","82.5",
"2018-09-13T00:00:00.000","3rd Floor"," 08:30:00","0.5","77.8","77.2",," 16:30:00","0.3","78.3","77.8",,"23:06:00","0.3","78.3","73.4","Smoking odor"
"2018-09-08T00:00:00.000","Plaster shop"," 09:56:00","<0.1","72","64.2",," 15:51:00","<0.1","73.7","68.1",,"--","--","--","--","No access"
"2018-09-09T00:00:00.000","6th Floor"," 08:48:00","0.4","77.7","58.2","Cooking Odor"," 16:27:00","0.4","78.2","57.4",,"10:46:00","0.4","77.4","55.3",
"2018-09-11T00:00:00.000","13th Floor",,"0.3","75.6","73.6",," 16:24:00","0.4","76.2","76.9",,,,,,
"2018-09-13T00:00:00.000","2nd Floor"," 08:31:00","0.7","78.2","77.4","high readings 0.9ppm near 2D"," 16:31:00","0.5","78.5","67.9","odor near 2D","23:07:00","0.3","78.6","71.9","Cooking odor"
"2018-09-14T00:00:00.000","Hallway"," 08:08:00","<0.1","78.2","78.7",," 16:22:00","<0.1","79.2","70.4",,"22:01:00","<0.1","77.1","69.4",
"2018-09-08T00:00:00.000","12th Floor"," 10:23:00","0.3","81.2","48.6",," 15:36:00","0.3","80.6","44.4",,"22:51:00","0.3","79.5","51.8",
"2018-09-12T00:00:00.000","3rd Floor"," 11:44:00","1.5","77.9","strong odor (Reading by 3B is 2.5ppm)","1899-12-31T16:35:00","0.8","77.5","strong odor","1899-12-31T22:39:00","0.9","77.8","strong odor",,,
"2018-09-14T00:00:00.000","Sprinkler control valve room"," 08:08:00","<0.1","76.8","82.0",," 16:24:00","<0.1","78.6","72.6",,"22:01:00","<0.1","77.2","74.6",
"2018-09-08T00:00:00.000","13th Floor"," 10:20:00","0.3*","81.3","47.2","Vent cleaning in progress"," 15:34:00","1.4","80.6","45.7","Cooking ( bad burnt odor)","22:50:00","0.6","79.3","55.4"," Smoking"
"2018-09-11T00:00:00.000","Compactor Room",,"<0.1","68.9","88.1",," 16:10:00","0.2","76.7","80",,,,,,
"2018-09-09T00:00:00.000","Main area"," 08:16:00","<0.1","62.4","78.6",," 15:26:00","<0.1","71.2","66.5",,"10:25:00","<0.1","69.7","60.2",
"2018-09-09T00:00:00.000","Hallway"," 08:40:00","<0.1","63.8","81.9","Door open to outside"," 16:00:00","0.2","72.9","70.4",,"10:30:00","<0.1","67","68.3",
"2018-09-13T00:00:00.000","16th Floor"," 08:20:00","0.1","77.4","74.6","hallway door to roof open"," 16:17:00","0.1","77.9","76.2","hallway door to roof open","22:39:00","0.1","76.8","79.6","hallway door to roof open"
"2018-09-11T00:00:00.000","6th Floor",,"0.4","75.8","73.5",," 16:33:00","1.1**","76.6","80.1",,,,,,
"2018-09-08T00:00:00.000","3rd Floor"," 10:40:00","0.8","81.2","52.4","Strong cooking odor on floor"," 15:44:00","0.5","80.8","44.2","Food smell","22:57:00","0.5","79.9","52.5",
"2018-09-08T00:00:00.000","Elevator 1 (R)"," 10:10:00","0.1","74.8","62.9",,,"0.1","80.3","46.2",,"22:46:00","0.1","72.8","66.1",
"2018-09-13T00:00:00.000","Electric meter room"," 08:11:00","<0.1","74.5","87.7",," 16:10:00","<0.1","76.9","83.9",,"22:06:00","<0.1","75.9","89.8",
"2018-09-13T00:00:00.000","Main area"," 08:09:00","<0.1","71.5","94.8",," 16:10:00","<0.1","75.8","84.7",,"22:06:00","<0.1","73.7","88.5",
"2018-09-08T00:00:00.000","Storage room"," 09:57:00","<0.1","72","64.2",," 15:53:00","0.2","78.1","52.9",,"23:05:00","0.2","75.1","66.4",
"2018-09-11T00:00:00.000","8th Floor",,"0.3","75.7","74.1",," 16:30:00","0.3","76.6","76.9",,,,,,
"2018-09-09T00:00:00.000","Compactor Room"," 08:24:00","<0.1","68.8","62.9",," 15:26:00","<0.1","72.3","67.4",,"10:25:00","<0.1","71.3","63.5",
"2018-09-14T00:00:00.000","10th Floor"," 08:35:00","0.2","78.3","72.9",," 16:45:00","0.1","75.7","70.2",,"22:17:00","0.2","78.6","66.7",
"2018-09-11T00:00:00.000","15th Floor",,"0.2","75.4","75.1",," 16:20:00","0.3","76.9","76.6",,,,,,
"2018-09-11T00:00:00.000","Office",,"<0.1","74.8","85.6",," 16:09:00","<0.1","77.2","77.8",,,,,,
"2018-09-14T00:00:00.000","Boiler/tank room"," 08:11:00","<0.1","82.4","76.4",," 16:26:00","<0.1","82.6","72.8",,"22:02:00","<0.1","81.4","71.6",
"2018-09-12T00:00:00.000","Gas meter room"," 11:20:00","<0.1","77",,"1899-12-31T16:13:00","<0.1","77.9",,"1899-12-31T22:18:00","<0.1","77.2",,,,
"2018-09-09T00:00:00.000","Exman room"," 08:19:00","<0.1","71.9","61.6",,"--","--","--","--","No access",,,,,"No access"
"2018-09-09T00:00:00.000","Boiler/tank room"," 08:22:00","<0.1","74.3","68.2",," 15:20:00","<0.1","76.2","72.4",,"10:24:00","<0.1","73.2","64.9",
"2018-09-07T00:00:00.000","13th Floor",,"0.4",,,"high temperature, humid, poor ventillation, stagnant air ",,,,,,,,,,
"2018-09-11T00:00:00.000","2nd Floor",,"0.3","75.6","73.8",," 16:38:00","0.3","76.4","77.1",,,,,,
"2018-09-07T00:00:00.000","8th Floor",,"0.4",,,"high temperature, humid, poor ventillation, stagnant air ",,,,,,,,,,
"2018-09-14T00:00:00.000","2nd Floor"," 08:46:00","0.2","78.6","68.1",," 16:59:00","0.2","78.9","66.1",,"22:27:00","0.5","79","60.6","paint odor"
"2018-09-09T00:00:00.000","Elevator 2 (L)"," 08:56:00","0.3","70.6","58.3","Odor"," 16:38:00","0.4","73.6","66.7","Odor","10:53:00","0.3","74.7","66.4","Odor"
"2018-09-07T00:00:00.000","10th Floor",,"0.3",,,"high temperature, humid, poor ventillation, stagnant air ",,,,,,,,,,
"2018-09-08T00:00:00.000","Main area"," 09:55:00","<0.1","72","64.2",," 15:50:00","<0.1","70.8","56.2",,"23:03:00","<0.1","69.6","72.4",
"2018-09-14T00:00:00.000","6th Floor"," 08:40:00","0.2","78.2","71.4",," 16:51:00","0.1","78.7","66.8",,"22:23:00","0.5","78.5","65.8","1.2ppm  by apt. 6G"
"2018-09-11T00:00:00.000","Hallway",,"<0.1","72.2","81.9",," 16:12:00","0.1","77","84.9",,,,,,
"2018-09-12T00:00:00.000","16th Floor"," 11:31:00","0.4","78.3","food odor","1899-12-31T16:25:00","0.2","78.7",,"1899-12-31T22:23:00","0.2","78.5",,,,
"2018-09-09T00:00:00.000","Electric meter room"," 08:17:00","<0.1","66.1","78.6",," 15:23:00","<0.1","73.5","63.5",,"10:15:00","<0.1","66","79.9",
"2018-09-14T00:00:00.000","12th Floor"," 08:30:00","0.2","77.8","73.4",," 16:40:00","0.1","78.5","67.9",,"22:13:00","0.3","78.9","65.9",
"2018-09-08T00:00:00.000","14th Floor"," 10:19:00","0.2","80.8","49.5","Cleaning"," 15:33:00","0.2","80.2","44.3",,"22:50:00","0.3","79","55.0",
"2018-09-09T00:00:00.000","Storage room"," 08:19:00","<0.1","68.3","74.0",," 15:26:00","<0.1","70.7","64.3",,"10:15:00","<0.1","62","79.9",
"2018-09-12T00:00:00.000","Office"," 11:21:00","<0.1","80",,"1899-12-31T16:14:00","<0.1","81.2",,"1899-12-31T22:18:00","<0.1","81.9",,,,
"2018-09-14T00:00:00.000","3rd Floor"," 08:45:00","0.2","78.1","73.7",," 16:57:00","0.2","78.7","69.9",,"22:26:00","0.4","78.6","66.4","food odor"
"2018-09-08T00:00:00.000","15th Floor"," 10:16:00","0.3","80.5","53.0","Cleaning"," 15:32:00","0.2","80.3","46.7",,"22:49:00","0.3","78.4","56.9",
"2018-09-14T00:00:00.000","15th Floor"," 08:27:00","0.2","78.3","72.4",," 16:36:00","0.1","78.9","67.2",,"22:08:00","0.2","77.9","68.9",
"2018-09-08T00:00:00.000","Slop sink room"," 10:10:00","0.1","74.1","84.2",," 15:28:00","0.1","74.9","60.5",,"--","--","--","--","No access"
"2018-09-13T00:00:00.000","12th Floor"," 08:23:00","0.2","77.6","75.5",," 16:22:00","0.2","78.3","75.2",,"22:52:00","0.2","78.6","74.1",
"2018-09-14T00:00:00.000","Elevator 1 (R)"," 08:23:00","0.1","78.2","75.3",," 16:24:00","0.1","79.8","70.4",,"22:29:00","0.3","79.1","67.3","strong odor"
"2018-09-12T00:00:00.000","Hallway"," 11:28:00","<0.1","78.1",,"1899-12-31T16:20:00","<0.1","77.7",,"1899-12-31T22:21:00","<0.1","77.9",,,,
"2018-09-09T00:00:00.000","Office"," 08:23:00","<0.1","75.2","62.9",," 15:20:00","<0.1","72.2","72.4",,"10:25:00","<0.1","70.4","68.5",
"2018-09-11T00:00:00.000","7th Floor",,"0.3","75.7","72.6",," 16:32:00","0.3","76.2","75.7",,,,,,
"2018-09-07T00:00:00.000","5th Floor",,"0.5",,,"high temperature, humid, poor ventillation, stagnant air ",,,,,,,,,,
"2018-09-08T00:00:00.000","Gas meter room"," 10:01:00","<0.1","79","62.1",," 15:54:00","<0.1","79.9","50.7",,"23:06:00","<0.1","78.1","61.6",
"2018-09-13T00:00:00.000","Hallway"," 08:12:00","<0.1","76.8","86.3",," 16:11:00","<0.1","77.7","81.9",,"22:07:00","<0.1","77.8","82",
"2018-09-09T00:00:00.000","12th Floor"," 08:44:00","0.3","76.2","57.1",," 16:18:00","0.4","78.2","59.6","Cooking Odor","10:39:00","0.5","76.5","56.1","Smoking Odor"
"2018-09-11T00:00:00.000","12th Floor",,"0.3","75.4","74.2",," 16:25:00","0.3","76.7","76.8",,,,,,
"2018-09-11T00:00:00.000","Sprinkler control valve room",,"<0.1","72.1","84.7",," 16:05:00","0.1","76.7","77.2",,,,,,
"2018-09-09T00:00:00.000","Sprinkler control valve room"," 08:20:00","<0.1","70.5","68.3",," 15:21:00","<0.1","75.0","66.1",,"10:21:00","<0.1","70.1","68.3",
